feature	metaStatus	metaReason	writeMode	itemsLen	missingSymbols	warnCount	emptyReason	upstream	cache	codesFound
rv-alpha-performance	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-alpha-radar	LIVE	-	NONE	items=3	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-analyst-stampede	LIVE	-	NONE	items=0	missingSymbols=5	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-arb-breadth-lite	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-arb-liquidity-pulse	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-arb-risk-regime	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-breakout-energy	STALE	STALE	NONE	items=1	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-central-bank-watch	LIVE	-	NONE	items=20	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-congress-trading	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-crypto-snapshot	LIVE	-	NONE	items=2	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-earnings-calendar	ERROR	UPSTREAM_4XX	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-earnings-reality	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-hype-divergence	LIVE	-	NONE	items=0	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-insider-cluster	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-macro-rates	LIVE	-	NONE	items=12	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-market-cockpit	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-market-health	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-market-regime	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-news-headlines	LIVE	-	NONE	items=34	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-news-intelligence	STALE	STALE	NONE	items=0	missingSymbols=0	warn=0	-	present	present	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-price-snapshot	LIVE	-	NONE	items=4	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sector-rotation	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sentiment-barometer	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-smart-money	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sp500-sectors	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-tech-signals	LIVE	-	NONE	items=29	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-top-movers	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-volume-anomaly	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-why-moved	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-yield-curve	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
